Campaign Number,Start Date,End Date,Channel,Client,Address,Email,Phone,Contact,Audience,Location,Views,Engagement,Clicks,Conversions,Expense ($),Executive,CampaignType,Expense ($)
C233,2023-08-18 0:00:00,2023-08-26 0:00:00,Email,Schneider PLC,"872 Davila Ville Apt. 985, Millerland, GA 42888",beasleycraig@yahoo.com,143.069.3791,Stephen Murphy,Adults 18-40,Europe,NA,9372,4037,443,"20,408.50",Lauren Riggs,Sales,"66,230.32"
C234,2023-05-22 0:00:00,2023-06-20 0:00:00,Facebook,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,#ERROR!,Karen Bryan,Male 60+,Europe,70305,4081,2324,426,"7,540.35",Jesus Rivera,Sales,"58,938.33"
C235,2023-05-04 0:00:00,2023-05-20 0:00:00,YouTube,Roberts-Brown,"725 Peter Lights Apt. 639, South Janet, WV 83873-6339",nguyendustin@gmail.com,(625)918-8416x213,Samantha Hudson,Male 40-60,Europe,91895,5610,913,300,"38,428.43",Thomas Ryan,Sign Up,
C236,2023-03-10 0:00:00,2023-04-05 0:00:00,Instagram,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Female 60+,USA,41426,6642,2018,598,"23,287.94",Thomas Ryan,Sales,"42,134.82"
C237,2023-04-12 0:00:00,2023-04-20 0:00:00,TikTok,Wall-Cruz,"7470 Harris Roads Suite 137, Brookefort, MP 32507",davidponce@turner-copeland.com,539.823.7269x7824,Robert Cruz,Female 18-40,India,1182,8784,4893,631,"28,795.37",Becky Brown,Sales,"63,003.12"
C238,2023-11-24 0:00:00,2023-12-19 0:00:00,Instagram,Salinas-Chavez,"53637 Bonnie Walk Suite 961, South Adrianaport, IA 49560",richard84@hotmail.com,2545622603,Chelsea Hoffman,Adults 18-40,Japan,7341,4379,2347,815,"32,122.01",Thomas Ryan,Sales,"23,153.00"
C239,2023-08-08 0:00:00,2023-08-17 0:00:00,Instagram,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 60+,UK,49227,5760,1189,669,"3,663.51",Lauren Riggs,Sales,"53,507.50"
C240,2023-10-01 0:00:00,2023-10-07 0:00:00,TikTok,"Arnold, Smith and Ward","Unit 2316 Box 4709, DPO AA 90463-5066",michelle93@pineda-small.com,#ERROR!,Karen Bryan,Teens 13-19,Japan,18306,2551,3790,192,"40,526.03",Jesus Rivera,Sales,"31,321.06"
C241,2023-07-02 0:00:00,2023-07-28 0:00:00,Instagram,"Bradley, Jackson and Miller","190 Bradley Mill Suite 940, Craigbury, MO 18832",hansonpatrick@hunt.com,#ERROR!,Dr. David Glass Jr.,Teens 13-19,UK,39779,301,2969,778,"25,050.42",Melissa Haynes,Sign Up,
C242,2023-03-24 0:00:00,2023-04-21 0:00:00,YouTube,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Female 18-40,India,49274,7642,864,546,"45,462.95",Jesus Rivera,Sign Up,
C243,2023-04-08 0:00:00,2023-04-25 0:00:00,TikTok,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Male 60+,Canada,57194,4740,1387,426,"22,195.76",Melissa Haynes,Sales,"79,503.33"
C244,2023-11-25 0:00:00,2023-12-08 0:00:00,Email,"Salinas, Rodriguez and Bowman","04604 Davidson Underpass Apt. 439, Lake Tiffany, DC 35416",gutierrezjames@yahoo.com,1-554-948-6086x0863,Laura Caldwell,Male 18-40,UK,NA,785,3276,955,"14,095.29",Thomas Ryan,Sales,"106,615.39"
C245,2023-12-01 0:00:00,2023-12-29 0:00:00,TikTok,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Male 40-60,LATAM,18222,2139,2232,546,"2,704.04",Wesley Simon,Sales,"48,056.86"
C246,2023-11-24 0:00:00,2023-12-07 0:00:00,Instagram,Vaughan Group,"PSC 0937, Box 0339, APO AP 98521",baldwinhailey@klein-fitzgerald.com,1-349-058-6674x35806,Ashley Carter,Adults 18-40,India,41919,5266,2162,60,"48,198.53",Jesus Rivera,Sign Up,
C247,2023-07-05 0:00:00,2023-07-17 0:00:00,TikTok,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Female 40-60,India,49487,5232,290,503,"31,751.24",Thomas Ryan,Sales,"54,182.86"
C248,2023-11-28 0:00:00,2023-12-03 0:00:00,TikTok,"Russell, Wilson and Rogers","27907 Deborah Hill Suite 235, Abigailbury, CO 58408",michael78@yahoo.com,(995)213-6315,Michael Howard,Female 60+,Europe,48676,6957,1404,67,"48,003.68",Thomas Ryan,Sales,"51,338.83"
C249,2023-10-25 0:00:00,2023-11-08 0:00:00,Facebook,"Cohen, Williams and Hess","93243 Lee Loop Apt. 832, North Jonathanland, MP 43605-6685",shawn39@gmail.com,314.858.5509x23447,Mr. Nicholas Ramirez,Female 60+,USA,3552,2267,2193,776,"5,731.82",Jesus Rivera,Sign Up,
C250,2023-07-02 0:00:00,2023-07-10 0:00:00,YouTube,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Female 18-40,USA,6999,5059,1520,870,"15,337.51",Wesley Simon,Sales,"30,077.82"
C251,2023-05-23 0:00:00,2023-05-24 0:00:00,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 40-60,Japan,50597,6044,4848,829,"47,775.13",Kyle Serrano,Sales,"56,296.21"
C252,2023-02-03 0:00:00,2023-02-15 0:00:00,Email,Jones LLC,"89103 Jennings Cape Suite 740, South Dianafort, FL 68504",norrisjames@pearson-burton.biz,(363)957-0616x7906,Danielle Hernandez,Female 18-40,India,NA,7146,2472,195,"34,858.39",Aaron Faulkner,Sign Up,
C253,2023-03-30 0:00:00,2023-04-23 0:00:00,YouTube,Harmon Inc,"3532 Carla Spurs Suite 631, East Susanside, VA 63110-6508",steven77@miller.com,1-293-472-4144x72086,Heidi Black,Teens 13-19,Canada,69497,4449,2161,661,"33,824.73",Kyle Serrano,Sales,"46,755.01"
C254,2023-12-28 0:00:00,2024-01-08 0:00:00,YouTube,Melton-Smith,"03793 Jacobs Branch, West Max, MA 54633-3659",mercertimothy@huff.com,(729)575-8232,Patrick Abbott,Female 40-60,UK,42913,8735,2052,156,"43,875.02",Lauren Riggs,Sales,"29,269.43"
C255,2023-11-29 0:00:00,2023-12-17 0:00:00,Email,Lopez PLC,"0806 Watson Drive Suite 662, Port Andrea, DE 42578-2286",zmcintyre@bauer.info,3724028579,Barbara Walker,Adults 18-40,LATAM,NA,3803,2670,899,"2,443.89",Lauren Riggs,Sales,"71,667.20"
C256,2023-02-26 0:00:00,2023-03-21 0:00:00,TikTok,Fisher Group,"880 Watson Ramp Suite 059, Reynoldsfurt, GU 10725",brian57@hotmail.com,1-185-168-7120,Jeremy Baker,Female 18-40,USA,29162,3113,405,884,"42,149.82",Melissa Haynes,Sales,"54,315.81"
C257,2023-06-19 0:00:00,2023-07-08 0:00:00,Facebook,Hughes-Sullivan,"5874 Guerra Courts Suite 368, South Codyhaven, OR 93465",williamsnathaniel@yahoo.com,415-860-7532,Roy Obrien,Adults 18-40,UK,70893,1460,108,918,"12,450.96",Brandon Townsend Jr.,Sign Up,
C258,2023-12-08 0:00:00,2023-12-22 0:00:00,Facebook,"Rowe, Morse and Morgan","247 Young Spur, North Jacobview, WI 24275",hstafford@yahoo.com,(934)411-1363,Destiny Atkins,Adults 40-60,Canada,10409,2284,698,578,"18,122.36",Becky Brown,Sales,"30,568.35"
C259,2023-11-25 0:00:00,2023-12-14 0:00:00,TikTok,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Seniors 60+,LATAM,64277,2793,2892,211,"25,246.47",Lauren Riggs,Sign Up,
C260,2023-03-19 0:00:00,2023-04-05 0:00:00,TikTok,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 60+,USA,52085,5853,2313,83,"9,598.66",Brandon Townsend Jr.,Sales,"42,383.64"
C261,2023-02-17 0:00:00,2023-02-21 0:00:00,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Male 18-40,Europe,NA,7532,419,227,"46,395.27",Brandon Townsend Jr.,Sales,"72,293.18"
C262,2023-01-26 0:00:00,2023-02-04 0:00:00,YouTube,Weaver-Hoover,"050 Andrews Green, North Renee, VT 22014-1131",jacqueline32@dominguez.biz,574-189-4981x166,Kathy Mahoney,Female 40-60,Australia,38312,9046,1095,383,"19,841.55",Brandon Townsend Jr.,Sign Up,
C263,2023-05-18 0:00:00,2023-06-05 0:00:00,Email,Riley PLC,"699 Anderson Glen, Parkerside, AZ 15616-1374",jennifer09@york.org,653.689.1510,Gary Reed,Seniors 60+,Europe,NA,7666,1319,288,"19,213.68",Kyle Serrano,Sales,"73,372.25"
C264,2023-10-06 0:00:00,2023-11-02 0:00:00,Facebook,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Adults 18-40,Canada,16680,1429,4901,785,"25,834.85",Wesley Simon,Sign Up,
C265,2023-10-02 0:00:00,2023-10-15 0:00:00,YouTube,Pearson-Shah,"5117 Suzanne Branch, Barnesmouth, VA 53846",anthony54@perez.com,644.194.6281,Shannon Martinez,Male 18-40,Japan,78790,3047,4540,154,"35,104.71",Jesus Rivera,Sign Up,
C266,2023-12-15 0:00:00,2024-01-01 0:00:00,TikTok,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Teens 13-19,Europe,47138,5670,753,209,"8,919.17",Wesley Simon,Sales,"74,530.88"
C267,2023-06-11 0:00:00,2023-06-12 0:00:00,Instagram,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,#ERROR!,Christine Barnes,Male 40-60,USA,46229,388,3594,65,"9,698.99",Thomas Ryan,Sales,"74,181.57"
C268,2023-12-24 0:00:00,2024-01-04 0:00:00,Facebook,Lyons PLC,"20804 Burgess Trace, Petersenburgh, WV 31082",nicholastaylor@yahoo.com,(496)403-6865,Sharon Crawford,Female 18-40,Japan,55356,9752,3522,9,"41,521.94",Lauren Riggs,Sign Up,
C269,2023-01-18 0:00:00,2023-01-28 0:00:00,YouTube,Lewis PLC,"621 Woodard Manors Apt. 208, Port Amy, ME 05157-2612",beth20@gmail.com,(382)505-1266,Diana Love,Female 18-40,USA,49440,7366,4549,115,"37,006.86",Thomas Ryan,Sales,"61,245.40"
C270,2023-06-22 0:00:00,2023-07-11 0:00:00,Instagram,"Fox, Carter and Cunningham","99919 Michelle Green Apt. 424, West Hannah, KY 63482-6699",bradymcclain@hotmail.com,1172175730,Andre Manning,Seniors 60+,Europe,54282,8645,4654,945,"47,381.95",Brandon Townsend Jr.,Sales,"66,880.46"
C271,2023-06-02 0:00:00,2023-06-30 0:00:00,TikTok,Herrera-Cook,"0613 David Haven Apt. 354, North Samantha, MI 10699-1384",ijordan@gmail.com,(880)891-9091,Madison York,Adults 40-60,Japan,60243,1886,1459,479,"6,350.77",Wesley Simon,Sign Up,
C272,2023-05-22 0:00:00,2023-06-11 0:00:00,Facebook,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 18-40,Japan,44967,7515,4479,576,"49,165.84",Kyle Serrano,Sales,"70,483.49"
C273,2023-07-28 0:00:00,2023-08-08 0:00:00,TikTok,Jackson Inc,"96299 Miller Spur, Jensenfurt, CA 97794-3156",jeremy09@yahoo.com,557-670-7467x238,Karen Rivers,Female 60+,India,40872,3804,4711,553,"18,294.51",Thomas Ryan,Sign Up,
C274,2023-04-19 0:00:00,2023-05-14 0:00:00,YouTube,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Male 18-40,India,19926,1565,1665,502,"33,168.43",Brandon Townsend Jr.,Sign Up,
C275,2023-01-11 0:00:00,2023-02-02 0:00:00,TikTok,"Ramos, Gomez and Garcia","PSC 8675, Box 2798, APO AA 82949-7770",huntdavid@orr.info,#ERROR!,Eric Harrison,Male 60+,India,9413,601,433,393,"13,779.68",Kyle Serrano,Sales,"45,385.97"
C276,2023-04-29 0:00:00,2023-05-12 0:00:00,Instagram,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Female 18-40,Europe,86592,176,622,133,"42,298.12",Aaron Faulkner,Sales,"47,465.61"
C277,2023-03-06 0:00:00,2023-03-25 0:00:00,Instagram,Wade PLC,"3571 Harvey Centers, Ronaldfurt, NY 35589-6805",nhall@hotmail.com,(330)526-4186x670,Lacey Crane,Male 60+,UK,88603,3637,4448,436,"1,521.88",Lauren Riggs,Sales,"45,547.23"
C278,2023-06-25 0:00:00,2023-07-05 0:00:00,Email,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Adults 40-60,USA,NA,5626,2456,427,"35,126.70",Wesley Simon,Sales,"73,654.20"
C279,2023-05-29 0:00:00,2023-05-30 0:00:00,YouTube,Pearson-Shah,"5117 Suzanne Branch, Barnesmouth, VA 53846",anthony54@perez.com,644.194.6281,Shannon Martinez,Teens 13-19,Australia,49501,7596,1874,243,"23,405.52",Jesus Rivera,Sales,"42,724.19"
C280,2023-11-30 0:00:00,2023-12-27 0:00:00,Email,Walter Ltd,"591 Gallegos Shore, East Jennifer, VT 67675",gravessusan@gonzalez.com,4034303913,Sarah Warren,Female 40-60,LATAM,NA,5314,2521,376,"32,658.57",Aaron Faulkner,Sales,"63,205.99"
C281,2023-02-28 0:00:00,2023-03-29 0:00:00,Facebook,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Male 60+,Australia,50133,2819,2190,788,"5,045.36",Becky Brown,Sign Up,
C282,2023-06-25 0:00:00,2023-07-18 0:00:00,Facebook,"Holloway, Cox and Ford","7800 Dorsey Tunnel Suite 734, West Tracy, UT 56027",joseph49@hodges-campbell.com,011-835-8647x901,Dennis Carr,Female 60+,India,60550,896,4112,400,"25,131.41",Brandon Townsend Jr.,Sign Up,
C283,2023-12-08 0:00:00,2023-12-19 0:00:00,Email,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Female 18-40,USA,NA,183,2812,112,"36,218.33",Kyle Serrano,Sales,"26,221.69"
C284,2023-05-24 0:00:00,2023-06-17 0:00:00,YouTube,Cooper-Alexander,"01438 Kristin Fords Apt. 626, Port Paula, WA 20979-6415",gchavez@yang.com,(284)401-5003,Alexandria Hansen,Adults 40-60,UK,1635,6010,2903,655,"22,870.55",Thomas Ryan,Sales,"80,901.69"
C285,2023-07-19 0:00:00,2023-08-09 0:00:00,Instagram,Jimenez and Sons,"8451 Walter Fords Apt. 737, South Danielchester, CT 12719-1372",amartinez@oconnell.com,405-164-0984x570,Justin Cole,Female 60+,UK,47051,4195,3301,638,"7,636.70",Jesus Rivera,Sales,"78,795.77"
C286,2023-01-19 0:00:00,2023-02-17 0:00:00,Email,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Female 40-60,Europe,NA,3507,4583,848,"31,135.38",Melissa Haynes,Sales,"72,241.75"
C287,2023-04-12 0:00:00,2023-04-26 0:00:00,YouTube,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,#ERROR!,Christine Barnes,Teens 13-19,LATAM,78607,2227,118,533,"7,123.00",Thomas Ryan,Sign Up,
C288,2023-01-28 0:00:00,2023-02-23 0:00:00,Email,White Ltd,"172 Angela Crescent Apt. 306, North Laura, HI 69094-7497",jeremy56@gmail.com,(320)185-3187x395,Nathan Weber,Female 40-60,LATAM,NA,2517,923,782,"21,730.71",Jesus Rivera,Sales,"24,258.78"
C289,2023-03-22 0:00:00,2023-04-21 0:00:00,Instagram,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Male 60+,Canada,23729,5216,3157,195,"27,155.80",Becky Brown,Sales,"94,962.33"
C290,2023-09-13 0:00:00,2023-10-04 0:00:00,Facebook,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Seniors 60+,India,59959,1179,1717,375,"38,813.68",Becky Brown,Sales,"65,491.17"
C291,2023-10-24 0:00:00,2023-11-18 0:00:00,Instagram,Anderson Inc,"Unit 0015 Box 7678, DPO AE 55030-2816",jgomez@gmail.com,358.421.6618x006,Morgan Gross,Seniors 60+,India,46400,1744,2307,693,"22,702.47",Thomas Ryan,Sign Up,
C292,2023-12-23 0:00:00,2023-12-25 0:00:00,Instagram,"Hernandez, Keller and Berry","Unit 2637 Box 1240, DPO AE 48178",mary90@yahoo.com,(203)315-6167,Kristin Carson,Adults 40-60,UK,91497,8424,4850,667,"22,472.58",Thomas Ryan,Sales,"74,148.35"
C293,2023-10-16 0:00:00,2023-10-23 0:00:00,YouTube,Drake-Vasquez,"8980 Cox Park, South Robert, NV 66099-6728",tylersheila@hicks.com,123-800-5701,Teresa Doyle,Male 60+,Australia,2264,3548,2766,527,"18,305.89",Michael Camacho,Sales,"50,170.13"
C294,2023-11-20 0:00:00,2023-12-02 0:00:00,Instagram,Mitchell-Rojas,"Unit 7421 Box 5134, DPO AE 60814",johnathan43@hotmail.com,1-211-588-6353,Benjamin Anthony,Adults 40-60,Europe,32046,3670,681,273,"44,367.51",Thomas Ryan,Sales,"33,801.45"
C295,2023-06-08 0:00:00,2023-06-18 0:00:00,Instagram,"Rowe, Morse and Morgan","247 Young Spur, North Jacobview, WI 24275",hstafford@yahoo.com,(934)411-1363,Destiny Atkins,Female 60+,Canada,91003,983,4595,164,"10,171.02",Becky Brown,Sales,"36,350.30"
C296,2023-11-30 0:00:00,2023-12-25 0:00:00,Email,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Seniors 60+,Canada,NA,4249,555,364,"37,109.37",Jesus Rivera,Sales,"56,324.99"
C297,2023-09-16 0:00:00,2023-10-13 0:00:00,Facebook,Ramirez-Wilson,"6802 Scott Ways, Jasonbury, NM 94299-7873",robertellis@simpson-gutierrez.com,(414)086-9895x8325,Christine Nguyen,Female 40-60,Japan,84089,8526,1949,932,"40,168.16",Becky Brown,Sales,"78,496.61"
C298,2023-04-20 0:00:00,2023-04-28 0:00:00,Facebook,"Holmes, Johnson and Rodriguez","USCGC Erickson, FPO AE 00735-4383",polsen@alexander-smith.net,1-479-099-8390x29817,Anne Foley,Adults 40-60,India,16388,2784,2761,992,"5,001.57",Wesley Simon,Sales,"39,526.63"
C299,2023-11-12 0:00:00,2023-12-05 0:00:00,Instagram,Thomas-Proctor,"820 Butler Streets Suite 875, North Denisehaven, WV 66736-0964",brownmario@leonard.com,371.890.0231,Angela Moore,Female 40-60,India,26571,4017,2809,342,"14,355.98",Wesley Simon,Sales,"62,283.11"
C300,2023-01-22 0:00:00,2023-02-04 0:00:00,TikTok,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Seniors 60+,Australia,69008,1054,1962,558,"31,697.81",Melissa Haynes,Sales,"67,561.92"
C301,2023-07-04 00:00:00,2023-07-19 00:00:00,Instagram,Patterson and Sons,"0171 Patricia Street Suite 265, Frankmouth, MS 50700-0717",nataliemartinez@hotmail.com,228-166-2016,Christopher Riggs,Male 18-40,LATAM,70387,8301,2988,959,"11,043.77",Jesus Rivera,Sales,"40,597.85"
C302,2023-07-28 00:00:00,2023-08-10 00:00:00,Instagram,Lewis-Martinez,"37059 Bates Prairie Suite 432, Port Robertmouth, MN 28374",joshua06@king.com,363.836.3647x5385,Angela Anderson,Teens 13-19,Australia,72426,2326,3578,983,"7,033.14",Aaron Faulkner,Sales,"58,082.29"
C303,2023-03-16 00:00:00,2023-03-19 00:00:00,Instagram,Green-Blake,"230 Brandon Bypass Apt. 679, New Melissa, TN 37505-3043",karenpayne@yahoo.com,399.882.0614x59395,Dustin Ramirez,Male 60+,Japan,41672,8720,1739,786,"13,014.36",Jesus Rivera,Sales,"60,947.69"
C304,2023-01-04 00:00:00,2023-01-17 00:00:00,Facebook,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Male 40-60,Australia,48382,8160,1199,165,"25,875.11",Jesus Rivera,Sign Up,
C305,2023-07-03 00:00:00,2023-07-18 00:00:00,YouTube,"Jones, Miranda and Martin","45011 Marc Roads Apt. 548, Johnsonbury, NJ 40892",kristenhoward@yahoo.com,#ERROR!,Christine Barnes,Female 60+,USA,67940,8130,2140,913,"18,403.61",Thomas Ryan,Sales,"30,498.91"
C306,2023-04-24 00:00:00,2023-04-28 00:00:00,TikTok,"Bush, Mendez and Smith","791 Darryl Squares Suite 934, Holdenport, OH 41129-2197",churchtimothy@yahoo.com,#ERROR!,Patrick Williams,Adults 18-40,Australia,27943,5896,4699,704,"9,322.49",Brandon Townsend Jr.,Sales,"70,653.27"
C307,2023-08-10 00:00:00,2023-08-23 00:00:00,Facebook,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Male 40-60,USA,83245,6240,1470,285,"18,078.17",Jesus Rivera,Sales,"69,311.66"
C308,2023-10-05 00:00:00,2023-10-24 00:00:00,Instagram,"James, Phelps and Burgess","026 Good Ports Apt. 881, Port Adam, KY 82799-9255",edurham@hotmail.com,#ERROR!,Vanessa Miranda,Teens 13-19,India,73576,4916,2143,194,"18,799.43",Lauren Riggs,Sales,"49,139.08"
C309,2023-02-07 00:00:00,2023-03-05 00:00:00,TikTok,Benjamin and Sons,"861 Knox Cape Apt. 731, Lake John, CA 62474",lrice@yahoo.com,#ERROR!,Derek Juarez,Male 18-40,UK,81806,4085,742,887,"8,596.07",Thomas Ryan,Sales,"56,240.83"
C310,2023-05-02 00:00:00,2023-05-29 00:00:00,Email,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Male 60+,USA,NA,3829,4405,698,"12,131.43",Jesus Rivera,Sign Up,
C311,2023-10-19 00:00:00,2023-11-06 00:00:00,Email,"Weaver, Garner and Ramos","2933 Ortiz Overpass Suite 099, South Douglasburgh, KY 52632-7557",oscott@gmail.com,498.978.7718x501,Melinda Johnston,Female 40-60,Canada,NA,2279,2984,251,"23,522.39",Brandon Townsend Jr.,Sales,"61,836.95"
C312,2023-02-22 00:00:00,2023-03-11 00:00:00,Instagram,"Rowe, Morse and Morgan","247 Young Spur, North Jacobview, WI 24275",hstafford@yahoo.com,(934)411-1363,Destiny Atkins,Female 18-40,Japan,99807,3394,489,59,"21,483.70",Becky Brown,Sales,"44,894.07"
C313,2023-07-20 00:00:00,2023-08-19 00:00:00,Facebook,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Adults 40-60,USA,55546,6515,4100,17,"45,123.25",Jesus Rivera,Sales,"39,186.39"
C314,2023-08-13 00:00:00,2023-09-10 00:00:00,TikTok,"Ruiz, Cox and Meyer","5058 Frank Locks, Blackmouth, MI 07896",vjohnson@yahoo.com,#ERROR!,Anne Davis,Female 40-60,Europe,76967,1271,2908,707,"19,850.01",Aaron Faulkner,Sign Up,
C315,2023-02-07 00:00:00,2023-02-15 00:00:00,YouTube,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Teens 13-19,UK,63818,5083,1065,929,"36,978.25",Kyle Serrano,Sales,"77,854.46"
C316,2023-06-18 00:00:00,2023-06-22 00:00:00,Instagram,Roberts-Howe,"64572 Dawn Forges Suite 455, South Samantha, PA 33248-5599",mckenziebrandon@allen.biz,698-591-7266x697,Robert Mcintosh,Male 60+,UK,29086,8795,1814,822,"21,713.61",Brandon Townsend Jr.,Sign Up,
C317,2023-08-23 00:00:00,2023-08-24 00:00:00,Email,Reed-Johnson,"01161 Mcintyre Burg, Robinsonport, CO 51964",stacy50@bates-martin.com,152-232-1350x6854,John Terrell,Adults 40-60,Europe,NA,772,4576,794,"27,686.76",Becky Brown,Sales,"42,918.85"
C318,2023-11-23 00:00:00,2023-12-06 00:00:00,Email,"Parker, Velasquez and Dixon","33302 Fuller Lakes, West Christopher, MH 17095",hutchinsonmary@gmail.com,#ERROR!,Brian George,Male 60+,Europe,NA,7566,4261,237,"4,692.45",Aaron Faulkner,Sales,"39,421.33"
C319,2023-06-20 00:00:00,2023-07-13 00:00:00,YouTube,"Morris, Johnson and Anderson","065 John Street, West Adamchester, NV 72944-3914",johnsondonald@meyer.com,322.618.9253x9220,Sandy Mathis,Male 60+,India,55478,4716,2943,440,"23,539.15",Kyle Serrano,Sales,"42,152.05"
C320,2023-10-14 00:00:00,2023-10-27 00:00:00,YouTube,"Holmes, Johnson and Rodriguez","USCGC Erickson, FPO AE 00735-4383",polsen@alexander-smith.net,1-479-099-8390x29817,Anne Foley,Male 60+,Europe,28659,5530,542,864,"25,249.59",Wesley Simon,Sign Up,
C321,2023-06-08 00:00:00,2023-07-05 00:00:00,Email,Gray Ltd,"Unit 4555 Box 7398, DPO AE 23911-7290",owenmelinda@yahoo.com,1728597837,Mark Long,Male 18-40,India,NA,4099,4775,601,"17,351.10",Jesus Rivera,Sales,"25,803.58"
C322,2023-02-05 00:00:00,2023-02-12 00:00:00,Instagram,Valentine-Dunn,"723 Julia Burg, Bartonhaven, VT 86914",gharrington@yahoo.com,5835472748,Nathan May,Female 40-60,Europe,45671,3488,3591,12,"18,384.96",Melissa Haynes,Sales,"39,471.45"
C323,2023-11-29 00:00:00,2023-12-17 00:00:00,Email,Reyes-Rios,"49937 Christopher Unions, Gutierrezmouth, MI 13751-5785",cunninghamjerry@gmail.com,1-463-956-5944x00079,Eric Davis,Adults 18-40,India,NA,4273,4777,712,"31,332.02",Wesley Simon,Sign Up,
C324,2023-01-28 00:00:00,2023-02-02 00:00:00,YouTube,Edwards LLC,"123 Amanda Summit, Lake Marietown, IL 81773-5493",tinamckay@sharp-smith.com,(506)912-2179x80069,Matthew Davis,Female 60+,India,60646,9488,3052,295,"32,056.49",Melissa Haynes,Sales,"29,335.87"
